sensor_count,q_rmse_mean,q_rmse_std,x_rmse_mean_degC,x_rmse_std_degC,q_rmse_seed_42,q_rmse_seed_43,q_rmse_seed_44
50,28.630852,0.005126,31.074764,0.505997,28.630992,28.625658,28.635907
100,28.646933,0.006813,30.757230,0.454770,28.654569,28.644753,28.641476
200,28.790108,0.032929,29.565707,0.525259,28.827967,28.768118,28.774240
300,28.952524,0.027283,27.459002,0.146834,28.965174,28.921213,28.971186
400,28.760834,0.012261,25.523277,0.208200,28.754578,28.752964,28.774960
600,28.352809,0.029226,20.751363,0.074655,28.319233,28.372543,28.366651
800,28.082756,0.058946,19.329283,0.148592,28.070686,28.146802,28.030779
1200,27.701908,0.038326,17.070197,0.065392,27.690423,27.744663,27.670638
