time_s,rmse_field_K,rmse_obs_K,q_mean_W,q_std_W,ess
0,7.60909,7.60909,10.2642,4.81694,5
10,0.072276,0.0732182,11.6898,5.7558,nan
20,0.0847334,0.0846813,14.9996,2.63163,nan
