time_s,T_hot_C,T_cold_C,T_mid_C,T_top_C,T_min_C,T_max_C,heater_power_W
0.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0
5.0,20.36703,20.0,20.040099999999995,20.002520000000004,20.0,20.586190000000045,15.0
10.0,20.648630000000026,20.00009,20.13393000000002,20.026650000000018,20.00001000000003,20.873800000000017,15.0
15.0,20.88644000000005,20.001100000000008,20.23114000000004,20.076020000000028,20.00021000000004,21.11148000000003,15.0
20.0,21.09345000000002,20.004440000000045,20.323530000000005,20.143140000000017,20.001270000000034,21.31755000000004,15.0
25.0,21.275959999999998,20.011090000000024,20.41073,20.221810000000005,20.004080000000044,21.49908000000005,15.0
30.0,21.439040000000034,20.021370000000047,20.493430000000046,20.30773000000005,20.009460000000047,21.661249999999995,15.0
35.0,21.586720000000014,20.03526000000005,20.572420000000022,20.397940000000006,20.01794000000001,21.808140000000037,15.0
40.0,21.72216000000003,20.05259000000001,20.64837,20.490390000000048,20.029780000000017,21.942880000000002,15.0
45.0,21.847770000000025,20.073140000000024,20.721870000000024,20.583690000000047,20.04507000000001,22.067859999999996,15.0
50.0,21.96538000000004,20.09668000000005,20.79340000000002,20.676919999999996,20.063800000000015,22.18494000000004,15.0
55.0,22.076400000000035,20.123010000000022,20.86334000000005,20.769450000000006,20.085830000000044,22.295479999999998,15.0
60.0,22.181939999999997,20.15193000000005,20.932000000000016,20.860870000000034,20.111019999999996,22.400590000000022,15.0
65.0,22.28284000000002,20.18327000000005,20.999630000000025,20.950930000000028,20.13915000000003,22.501100000000008,15.0
70.0,22.379790000000014,20.21687000000003,21.06641000000002,21.03949,20.170029999999997,22.59770000000003,15.0
75.0,22.473330000000033,20.252580000000023,21.13252,21.126490000000047,20.203450000000032,22.690920000000006,15.0
80.0,22.56388000000004,20.29024000000004,21.19807000000003,21.21192000000002,20.239190000000008,22.781180000000006,15.0
85.0,22.651820000000043,20.329740000000015,21.263149999999996,21.29579000000001,20.277090000000044,22.86885000000001,15.0
90.0,22.737430000000018,20.37094000000002,21.327850000000012,21.378150000000005,20.316959999999995,22.95422000000002,15.0
95.0,22.82098000000002,20.413720000000012,21.39223000000004,21.459060000000022,20.358660000000043,23.037540000000035,15.0
100.0,22.902660000000026,20.457970000000046,21.456330000000037,21.53860000000003,20.402000000000044,23.119020000000035,15.0
105.0,22.982680000000016,20.50358,21.520200000000045,21.616840000000025,20.44685000000004,23.19884000000002,15.0
110.0,23.061170000000004,20.550450000000012,21.583860000000016,21.693840000000023,20.493120000000033,23.277160000000038,15.0
115.0,23.13829000000004,20.598490000000027,21.647340000000042,21.769710000000032,20.540610000000015,23.354120000000023,15.0
120.0,23.21416000000005,20.64760000000001,21.71067000000005,21.844490000000008,20.589320000000043,23.429830000000038,15.0
125.0,23.28887000000003,20.69771000000003,21.773860000000013,21.918290000000013,20.638930000000016,23.504410000000007,15.0
130.0,23.362540000000024,20.748730000000023,21.83692000000002,21.991150000000005,20.689480000000003,23.577950000000044,15.0
135.0,23.435249999999996,20.80060000000003,21.899860000000047,22.063140000000033,20.74090000000001,23.650530000000003,15.0
140.0,23.50707,20.853240000000028,21.96270000000004,22.134330000000034,20.793110000000013,23.72225000000003,15.0
145.0,23.57808,20.90659000000005,22.025440000000003,22.204769999999996,20.846050000000048,23.79316,15.0
150.0,23.64834000000002,20.9606,22.088090000000022,22.27451000000002,20.89965000000001,23.863320000000044,15.0
155.0,23.71792000000005,21.01522,22.15065000000004,22.343620000000044,20.953850000000045,23.932810000000018,15.0
160.0,23.786860000000047,21.07038,22.213130000000035,22.412120000000016,21.008620000000008,24.001670000000047,15.0
165.0,23.85521,21.126040000000046,22.275540000000035,22.480080000000044,21.06388000000004,24.06994000000003,15.0
170.0,23.923020000000008,21.182170000000042,22.33787000000001,22.547529999999995,21.119590000000017,24.137680000000046,15.0
175.0,23.99033000000003,21.23872,22.400130000000047,22.614490000000046,21.175730000000044,24.204930000000047,15.0
180.0,24.057170000000042,21.295659999999998,22.462320000000034,22.681020000000046,21.232250000000022,24.27171000000004,15.0
185.0,24.123590000000036,21.352940000000046,22.52445,22.74714,21.28911000000005,24.338070000000016,15.0
190.0,24.18960000000004,21.41055,22.586520000000007,22.812870000000032,21.34629000000001,24.404030000000034,15.0
195.0,24.255250000000046,21.46845000000002,22.64853000000005,22.878250000000037,21.403750000000002,24.469629999999995,15.0
200.0,24.320550000000026,21.526610000000005,22.710470000000043,22.943300000000022,21.46147000000002,24.534880000000044,15.0
205.0,24.385530000000017,21.585020000000043,22.77236000000005,23.008050000000026,21.51943,24.599820000000022,15.0
210.0,24.45022,21.643640000000005,22.83420000000001,23.072510000000023,21.577590000000043,24.664469999999994,15.0
215.0,24.514620000000036,21.702470000000005,22.89598000000001,23.13670000000002,21.635950000000037,24.728830000000016,15.0
220.0,24.57877000000002,21.76147000000003,22.957700000000045,23.200649999999996,21.69448,24.79295000000002,15.0
225.0,24.64268000000004,21.82063000000005,23.019370000000038,23.26436000000001,21.753160000000037,24.856820000000027,15.0
230.0,24.706360000000018,21.87993,23.080990000000043,23.327860000000044,21.811980000000005,24.920470000000023,15.0
235.0,24.769830000000013,21.939369999999997,23.142560000000003,23.39115000000004,21.870930000000044,24.983910000000037,15.0
240.0,24.8331,21.99892,23.20407,23.454260000000033,21.92998,25.047150000000045,15.0
245.0,24.896190000000047,22.05857000000003,23.265540000000044,23.517179999999996,21.989130000000046,25.110209999999995,15.0
250.0,24.95911000000001,22.11832000000004,23.32695000000001,23.579940000000022,22.048370000000034,25.17311000000001,15.0
255.0,25.021860000000004,22.178150000000016,23.38832000000002,23.642539999999997,22.107680000000016,25.235839999999996,15.0
260.0,25.084460000000036,22.238040000000012,23.449640000000045,23.70500000000004,22.16706000000005,25.29842000000002,15.0
265.0,25.146910000000048,22.298000000000002,23.510910000000024,23.76731000000001,22.226490000000013,25.360860000000002,15.0
270.0,25.209230000000048,22.358010000000036,23.572130000000016,23.82949000000002,22.285979999999995,25.423159999999996,15.0
275.0,25.271410000000003,22.41807,23.63330000000002,23.89154000000002,22.345500000000015,25.485330000000033,15.0
280.0,25.33348000000001,22.478160000000003,23.694420000000036,23.953480000000013,22.405050000000017,25.547380000000032,15.0
285.0,25.39542,22.538290000000018,23.75550000000004,24.015300000000025,22.46463,25.609320000000025,15.0
290.0,25.45726000000002,22.59844000000004,23.81653,24.07701000000003,22.52424000000002,25.671140000000037,15.0
295.0,25.51899000000003,22.658600000000035,23.87751000000003,24.138630000000035,22.58385000000004,25.732860000000016,15.0
300.0,25.58053000000001,22.718790000000013,23.938450000000046,24.200140000000033,22.64348000000001,25.77573000000001,0.0
305.0,25.273120000000006,22.77899000000002,23.958820000000003,24.25902000000002,22.703130000000044,25.287860000000023,0.0
310.0,25.05337000000003,22.83909,23.925710000000038,24.295980000000043,22.762770000000046,25.061650000000043,0.0
315.0,24.87718000000001,22.89828,23.889370000000042,24.30764000000005,22.82220000000001,24.884040000000027,0.0
320.0,24.731690000000015,22.955129999999997,23.857830000000035,24.301600000000008,22.880790000000047,24.737670000000037,0.0
325.0,24.610600000000034,23.008669999999995,23.831450000000018,24.284019999999998,22.937620000000038,24.615850000000023,0.0
330.0,24.508860000000027,23.058580000000006,23.809529999999995,24.259180000000015,22.991890000000012,24.513480000000015,0.0
335.0,24.422410000000013,23.104870000000005,23.79128000000003,24.230050000000006,23.043060000000025,24.42652000000004,0.0
340.0,24.34814,23.147730000000024,23.77603000000005,24.19864000000001,23.09086000000002,24.35181,0.0
345.0,24.283640000000048,23.187360000000012,23.76319000000001,24.166330000000016,23.135180000000048,24.28692000000001,0.0
350.0,24.227059999999994,23.224000000000046,23.752290000000016,24.13407000000001,23.17607000000004,24.230020000000025,0.0
355.0,24.177009999999996,23.257840000000044,23.742950000000008,24.10247000000004,23.21365000000003,24.17969000000005,0.0
360.0,24.132390000000044,23.289080000000013,23.73484000000002,24.07194000000004,23.248090000000047,24.134810000000016,0.0
365.0,24.09235000000001,23.31790000000001,23.72774000000004,24.04271,23.27959000000004,24.094550000000027,0.0
370.0,24.05621000000002,23.344449999999995,23.721450000000004,24.014940000000024,23.30835000000002,24.05826000000002,0.0
375.0,24.02344000000005,23.368880000000047,23.7158,23.988680000000045,23.334580000000017,24.025350000000003,0.0
