configuration,time_s,Q_mean_W,Q_min_W,Q_max_W,Q_mean_abs_relative_error_pct,h_mean_W_K,h_min_W_K,h_max_W_K,h_mean_abs_relative_error_pct
同化なし(free run),300.0,16.454143307990687,15.276087999112633,18.47831259885521,9.69428871993792,0.021006027981515706,0.02024945695934016,0.02177582972183465,36.837808385436674
同化なし(free run),600.0,16.454143307990687,15.276087999112633,18.47831259885521,9.69428871993792,0.021006027981515706,0.02024945695934016,0.02177582972183465,36.837808385436674
温度1点(低感度),300.0,11.937049510580994,8.250932461328484,14.59920363507963,20.419669929460042,0.024697691128255747,0.021608379003668923,0.028276546711734334,60.886100368181204
温度1点(低感度),600.0,14.2090161692771,13.070118488075734,15.851149297701351,7.787546393366165,0.023925451873763038,0.018268903659348426,0.031540206386301665,55.85556688384179
温度1点(高感度),300.0,13.078921780462514,10.055824982876253,16.28052612005845,16.221924450405773,0.023265343509840993,0.01908514188462714,0.026196325043700498,51.55547826663758
温度1点(高感度),600.0,13.743280277154245,11.120595319169363,17.076738596276158,14.027194759324274,0.0237707783266859,0.020383468878065452,0.027370539591579316,54.84798995326443
温度2点(高感度),300.0,13.695409305166171,11.413165440761691,15.56277088538179,10.197993659910317,0.021928651902501643,0.014087192786727994,0.027185971285427435,46.14117215552646
温度2点(高感度),600.0,14.046254528071149,12.713004267707193,15.664045691934339,8.129091658017233,0.02333476831121614,0.01400666738635608,0.030591086137473578,55.510742433114565
温度2点+変位2点,300.0,14.88673274159467,14.218974123741518,15.590623140932962,3.1226199548939415,0.021659968940576937,0.015493559897405555,0.023975915261782433,41.09772119380533
温度2点+変位2点,600.0,14.893095593430521,14.361589423508315,15.468805789908803,2.491378980953096,0.02140368091410579,0.01563220814367265,0.03554961039908404,39.428205572451276
