configuration,temperature_mean_spatial_rmse_K,A_time_rmse_um,O_time_rmse_um,difference_time_rmse_um,pair_time_space_rmse_um
同化なし(free run),4.585335946299128,5.604971631366952,5.359478490807284,0.2758501209182256,5.483939954700256
温度1点(低感度),1.036154908671085,1.698495899538281,0.6162737226126422,1.187081332556818,1.2800588069885677
温度1点(高感度),0.6172235833468489,0.38618886629523674,1.2729849614533337,0.992924058097325,0.9410339303492614
温度2点(高感度),0.5025151030315363,0.3267055789554111,1.183756116958731,0.9312792013822264,0.8717648777913996
温度2点+変位2点,0.15965601594098625,0.1598963708368969,0.14937479137063414,0.16512001700494633,0.15732719380570828
