time_s,rmse_field_K,rmse_obs_K,q_mean_W,q_std_W,ess
0,7.60909,7.60909,10.2642,4.81694,5
10,2.44435,2.45327,20.2296,0.792052,1
20,2.38247,2.3264,20.2296,0.792052,2.71294
