sensor,sens_um_per_K,rmse_temponly_K,std_temponly,rmse_tempdisp_K,std_tempdisp
hot,0.02984422241715157,0.1305478060818217,0.09175976552184281,0.026869440680599384,0.014051018689009338
mid,0.008439652276850786,0.1369179351123843,0.10191234985201478,0.031967023556869534,0.014629186125065476
cold,0.017574443011384548,0.21631389563520514,0.15048921758583597,0.038770767100516836,0.011233135179590945
top,0.06962790236327343,0.1327027635173183,0.10079598364156893,0.030804754688742674,0.015846020824370047
core,0.007199289030711424,0.15917693509170538,0.11686779744181866,0.03356279129048133,0.012125539228188757
