case,sens_um_per_K,rmse_K,std_K
高感度2点(方向分散),5.390818029269246,0.023742131521744213,0.01648791032860103
現行(上面ヒータ側+反対側),2.872515838238483,0.026869440680599384,0.014051018689009338
低感度2点,0.12485809645431234,0.040000590697046166,0.027765918870002765
ランダム2点(3組平均),2.3940600260159015,0.03709960302269558,0.004269716584771368
